client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40735005.mp3	0263042c83f7e5754398ced3d17462619de81eb37eb4c4ad890217250e11d91f	Yer kürəsini başqa elmlər də öyrənir.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_42621097.mp3	00723fb76f10943d710a6e683033c5f3b830da2342e82603142d9af55161ba0c	Nəticədə aqrar sektorun məhsuldarlığı Azərbaycanın tarixində indiyədək bərabəri olmayan rekord göstəricilərinə çatmışdır.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40668243.mp3	00090c1db0f1c1bd2192b2d0d908930278caa783929846a63bc0dfba27c7491d	Adətən mütləq dərinliyinə görə ayrılır.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40699348.mp3	00fb81eac86741170c55a644110bba20efc92301c25dddb14aaa84b4906eb915	Bir müddət sonra iki polis birlikdə axtarışa başlayır.		2	0	thirties				az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729356.mp3	01a2994cda843ee7d0500302b74237640bae58e0f18bb2a1f51e0f55440a7061	Səsin əks olunmasından naviqasiya işlərində də istifadə olunur.		2	0	thirties	male_masculine			az	
6c2ddea22c8a7610e8d6e3cd9fde20ced80640d3b9b39d9d77aaf2ae70ff5342b982b8be00073ec120df7c6485630e61ac37ac6bf56d9a95f5363952ef85dce3	common_voice_az_40811238.mp3	0226c73d9b1f837feec34b179c5b4bacfe1b6b4dbb3a27fd1b25f63befbb91f2	Xalq təsərrüfatı üçün çox mühüm dövlət əhəmiyyəti olan belə problemə biganə qalmaq olmaz.		2	1	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40679572.mp3	00d70a720efaedb6869166efa9ec821bb1c0055ac5989fc712ef6b06e0a4a5cc	Həmin il Həbib də Leninqrad Dövlət Universitetinin Şərq fakültəsinin ərəb filologiyası bölməsinə daxil olur.		2	0	thirties				az	
6c2ddea22c8a7610e8d6e3cd9fde20ced80640d3b9b39d9d77aaf2ae70ff5342b982b8be00073ec120df7c6485630e61ac37ac6bf56d9a95f5363952ef85dce3	common_voice_az_40798914.mp3	01dc53382b75220a4c093f4b63ff8762428b5cf472dbe1ece225ff2433de615d	Burada onun oğlu dünyaya gəlib.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40799064.mp3	029685d77f7f52d6f71db7df21680125c0f9201b35522393769d9c618e34ffb1	Binanın üst qatı açıqdır və beləcə o gün ərzində günəş işığını əks etdirir.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40668245.mp3	0206423692e1263d01b430e136d5c8a3a1152f5d64b90599726cd7a400d4fd9f	Alətin alt hissəsində onu yerə qoymaq üçün iti bir çıxıntı olur.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40679360.mp3	01757b5edccc702e945003b5d227bd7b6409a2ae4e9e73f879377624cd547f1e	Həzm sisteminə açılan bir ağıza sahibdirlər.		2	0	thirties				az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729383.mp3	007273f67fb81f24dfe68b6e6c7735f7deb96fcbeaa0043eb2a490719a3c3268	Qəsəbə dəniz sahilində yerləşdiyi üçün belə adlandırılmışdır.		2	0	thirties	male_masculine			az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40734682.mp3	02387ab7b08d4031c526efd35abcaf86e10ab98adf8fffdeacb6e003c4a02f83	Uşaqlığı Bakı ilə bağlıdır.		2	0	thirties				az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729350.mp3	01e30b472f3b09d01ff674801cf87fd34596c0d56f4a020b0b38cb77d67b9a68	Yeni birliyə nəzarət Türkmənistanın Mədəniyyət və Televiziya nazirliyinə tapşırılır.		2	1	thirties	male_masculine			az	
6c2ddea22c8a7610e8d6e3cd9fde20ced80640d3b9b39d9d77aaf2ae70ff5342b982b8be00073ec120df7c6485630e61ac37ac6bf56d9a95f5363952ef85dce3	common_voice_az_40737737.mp3	00e7374723b3675d71900ce7e183b1db9d3130d1db4b6d44c261e8bf3541211a	Bu yumaq simpatik sinir sisteminə aiddir.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40699346.mp3	0293b4ea0c8af141a28d8ccff96ad1ee03623829ec4c067287e49375449b0719	Midiyalılar barəsində yunanlar məlumat verməyə başladı.		2	0	thirties				az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40679575.mp3	015629c2179ce159845c148c3b84b9f7e5118e37f88c7978f1a1c29e5818fa12	Dörd kitabın birinə də yiyə durmadın.		2	0	thirties				az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729359.mp3	01fac96f937277b6df1404d8dc77a2f14893254c1af63f78d67664ba3e3186a3	İnqilabdan sonra asılmışdır.		2	1	thirties	male_masculine			az	
4330a3785df536c848d80fb034d51d7e18c29edca132b2bc22fd9c96304bf06935f978f0c05c7fce26a8d4568f30cb95108fc78ebbe47e577d6968478c22ad54	common_voice_az_40679337.mp3	00a43d461ea3b656352fff38d514ba910f344a3044def47a735f20db7d149c07	İlk növbədə asanlıqla yuxuya getməyə kömək edir.		2	0	thirties				az	
6c2ddea22c8a7610e8d6e3cd9fde20ced80640d3b9b39d9d77aaf2ae70ff5342b982b8be00073ec120df7c6485630e61ac37ac6bf56d9a95f5363952ef85dce3	common_voice_az_40737721.mp3	02b8286ab6530a9538bb92926a7c70597f46745cb3d2bfcd3b02551cd302614b	Həsən bəy Zərdabinin qızı.		2	0	thirties				az	
